source;relationship;target
'Metropolitan Museum of Art';'has_possession_of';'Departure of the Amazons'
'Galerie Marcus';'sells';'Departure of the Amazons'
'Departure of the Amazons';'comes_from';'Claude Déruet'
'Henri Mauperché';'has_role';'Artist'
'Classical Landscape with Figures';'comes_from';'Henri Mauperché'
'Metropolitan Museum of Art';'has_possession_of';'Classical Landscape with Figures'
'Graf Karol Lanckoronski';'has_possession_of';'Classical Landscape with Figures'
'Metropolitan Museum of Art';'has_possession_of';'Card Players in a Drawing Room'
'Duits, London';'sells';'Card Players in a Drawing Room'
'Harry G. Sperling';'purchases';'Card Players in a Drawing Room'
'Metropolitan Museum of Art';'has_possession_of';'Head of a Child'
'Ambroselli, Paris';'has_possession_of';'Head of a Child'
'Rothman';'sells';'Head of Christ'
'Rothman';'makes_sale_to';'Harry G. Sperling'
'Head of Christ';'comes_from';'Rothman'
'Metropolitan Museum of Art';'has_possession_of';'Portrait of a Man'
'Portrait of a Man';'comes_from';'Jules Porges, Paris'
'Portrait of a Man';'comes_from';"Guy Stein and D'Atri, Paris"
'Metropolitan Museum of Art';'has_possession_of';'The Mass of Saint Gregory'
'Galerie Marcus';'sells';'The Mass of Saint Gregory'
'Galerie Marcus';'has_possession_of';'The Mass of Saint Gregory'
'Metropolitan Museum of Art';'has_possession_of';'Portrait of a Woman'
'Jules Porgès';'has_possession_of';'Portrait of a Woman'
"Guy Stein and D'Atri";'has_possession_of';'Portrait of a Woman'
'Louis Léopold Boilly';'has_role';'Artist'
'Mr. and Mrs. George L. Mesker';'has_possession_of';'Portrait of a Woman'
'Metropolitan Museum of Art';'has_possession_of';'Holy Family'
'Chalandon family';'has_possession_of';'Holy Family'
'dealer';'has_possession_of';'Holy Family'
'Metropolitan Museum of Art';'has_possession_of';"Trompe l'oeil with Palettes and Miniature"
'Jean François de Le Motte';'has_role';'Artist'
'Martin Asscher';'has_possession_of';"Trompe l'oeil with Palettes and Miniature"
'Edward Speelman';'sells';'Still Life with Strawberries'
'Metropolitan Museum of Art';'has_possession_of';'Still Life with Strawberries'
'Doris Wiener Gallery';'has_possession_of';'Pair of Manuscript Covers with Buddhist Deities'
'Doris Wiener Gallery';'sells';'Pair of Manuscript Covers with Buddhist Deities'
'Pair of Manuscript Covers with Buddhist Deities';'comes_from';'Nepal (Kathmandu Valley)'
'Metropolitan Museum of Art';'has_possession_of';'Pair of Manuscript Covers with Buddhist Deities'
'Lamentation';'comes_from';'probably French (Paris?)'
'Robert Lehman Collection';'has_possession_of';'Lamentation'
'Joseph Brummer';'has_possession_of';'Lamentation'
'Joseph Brummer';'sells';'Lamentation'
'Parke-Bernet Galleries';'makes_sale_to';'Robert Lehman Collection'
'Metropolitan Museum of Art';'has_possession_of';'Madonna and Child [?]'
'Frank Hall Standish';'has_possession_of';'Madonna and Child [?]'
'Madonna and Child [?]';'comes_from';'Circle of Alonso Cano'
'Harry G. Sperling';'has_possession_of';'Study of Figures: an Old Man Holding a Hat and a Younger Man'
'Study of Figures: an Old Man Holding a Hat and a Younger Man';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Study of Figures: an Old Man Holding a Hat and a Younger Man'
'Metropolitan Museum of Art';'has_possession_of';'Study of the Christ Child and the Hand of the Baptist'
'Study of the Christ Child and the Hand of the Baptist';'comes_from';'Reinier Willem Petrus de Vries'
'Study of the Christ Child and the Hand of the Baptist';'comes_from';'Harry G. Sperling'
'Harry G. Sperling';'has_possession_of';'Farm House along a River, two figures at left'
'Metropolitan Museum of Art';'has_possession_of';'Farm House along a River, two figures at left'
'Antoine Watteau';'has_role';'Artist'
'Harry G. Sperling';'has_possession_of';'Reclining Nude Figure (recto), unidentifiable subject (verso)'
'Harry G. Sperling';'donates_to';'Metropolitan Museum of Art'
'Reclining Nude Figure (recto), unidentifiable subject (verso)';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Reclining Nude Figure (recto), unidentifiable subject (verso)'
'Harry G. Sperling';'has_possession_of';'Head of a Satyr'
'Metropolitan Museum of Art';'has_possession_of';'Head of a Satyr'
'Head of a Satyr';'comes_from';'Circle of Antoine Watteau'
'Harry G. Sperling';'has_possession_of';'Four Artists seated at a table (Brunet, Potier...)'
'Four Artists seated at a table (Brunet, Potier...)';'comes_from';'Harry G. Sperling'
'Harry G. Sperling';'has_possession_of';'Landscape With a Farmyard, Thatched-Roofed Building, and Figures'
'Landscape With a Farmyard, Thatched-Roofed Building, and Figures';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Pack of Dogs Attacking a Wild Boar'
'Pack of Dogs Attacking a Wild Boar';'comes_from';'Circle of Jean-Baptiste Oudry'
'Metropolitan Museum of Art';'has_possession_of';'Voltaire and Piron'
'Voltaire and Piron';'comes_from';'Circle of Claude Gillot'
'Princess Lubomiriski, Countess of Wisnicz';'has_possession_of';'Voltaire and Piron'
'Metropolitan Museum of Art';'has_possession_of';'River Landscape with a Man Standing by a Boathouse'
'Philips Koninck';'has_role';'Artist'
'Jan Pietersz Zoomer';'has_possession_of';'River Landscape with a Man Standing by a Boathouse'
'Valerius Röver';'has_possession_of';'River Landscape with a Man Standing by a Boathouse'
'Johann Edler von Lanna';'has_possession_of';'River Landscape with a Man Standing by a Boathouse'
'Metropolitan Museum of Art';'has_possession_of';'Woman Holding a Jug and a Study of her Head'
'George Thorn-Drury';'has_possession_of';'Woman Holding a Jug and a Study of her Head'
'William Bates';'has_possession_of';'Woman Holding a Jug and a Study of her Head'
'Cornelis Bega';'has_role';'Artist'
'Harry G. Sperling';'has_possession_of';'Adoration of the Shepherds'
'Adoration of the Shepherds';'comes_from';'Johann Daniel Preissler'
'Metropolitan Museum of Art';'has_possession_of';'Fight Between Perseus And Phineus in the Palace of Cepheus'
'Fight Between Perseus And Phineus in the Palace of Cepheus';'comes_from';'Circle of Bernard Picart'
'Fight Between Perseus And Phineus in the Palace of Cepheus';'comes_from';'John Thane'
'Fight Between Perseus And Phineus in the Palace of Cepheus';'comes_from';'Sir Thomas Lawrence'
'Metropolitan Museum of Art';'has_possession_of';'Death of Niobe and Her Children'
'Death of Niobe and Her Children';'comes_from';'Circle of Bernard Picart'
'Death of Niobe and Her Children';'comes_from';'John Thane'
'Death of Niobe and Her Children';'comes_from';'Sir Thomas Lawrence'
'Metropolitan Museum of Art';'has_possession_of';'Hunt of the Calydonian Boar'
'Hunt of the Calydonian Boar';'comes_from';'Circle of Bernard Picart'
'Hunt of the Calydonian Boar';'comes_from';'John Thane'
'Hunt of the Calydonian Boar';'comes_from';'Sir Thomas Lawrence'
'Metropolitan Museum of Art';'has_possession_of';'Fall of the Giants'
'Fall of the Giants';'comes_from';'Circle of Bernard Picart'
'John Thane';'has_possession_of';'Fall of the Giants'
'Sir Thomas Lawrence';'has_possession_of';'Fall of the Giants'
'Feast of the Gods';'comes_from';'John Thane'
'Feast of the Gods';'comes_from';'Sir Thomas Lawrence'
'Dancing Nymphs in a Glade';'comes_from';'Circle of Bernard Picart'
'Dancing Nymphs in a Glade';'comes_from';'John Thane'
'Dancing Nymphs in a Glade';'comes_from';'Sir Thomas Lawrence'
'Nymphs And Satyrs';'comes_from';'Circle of Bernard Picart'
'Metropolitan Museum of Art';'has_possession_of';'Nymphs And Satyrs'
'John Thane';'has_possession_of';'Nymphs And Satyrs'
'Sir Thomas Lawrence';'has_possession_of';'Nymphs And Satyrs'
'Metropolitan Museum of Art';'has_possession_of';'King Midas Feasting At The Arrival of Silenus'
'King Midas Feasting At The Arrival of Silenus';'comes_from';'Circle of Bernard Picart'
'King Midas Feasting At The Arrival of Silenus';'comes_from';'late 17th–early 18th century'
'King Midas Feasting At The Arrival of Silenus';'comes_from';'John Thane (British)'
'King Midas Feasting At The Arrival of Silenus';'comes_from';'Sir Thomas Lawrence (British)'
'Metropolitan Museum of Art';'has_possession_of';'A Farm Building, verso: Head of a Woman and Sleeping Child'
'Nikita D. Lobanov';'comes_from';'A Farm Building, verso: Head of a Woman and Sleeping Child'
'Harry G. Sperling';'has_possession_of';'Half-length Virgin and Standing Child with Indications of the Passion'
'Half-length Virgin and Standing Child with Indications of the Passion';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Half-length Virgin and Standing Child with Indications of the Passion'
'Ascension of Christ (Acts I, 1–9): Study for stained glass';'comes_from';'Margaret Mackail'
'Ascension of Christ (Acts I, 1–9): Study for stained glass';'comes_from';'Angela Thirkell'
'Metropolitan Museum of Art';'has_possession_of';'Ascension of Christ (Acts I, 1–9): Study for stained glass'
'Harry G. Sperling';'has_possession_of';'Imitator of Goya (Francisco de Goya y Lucientes) artwork'
'Imitator of Goya (Francisco de Goya y Lucientes) artwork';'comes_from';'Marqués de Casa Torres'
'Metropolitan Museum of Art';'has_possession_of';'Imitator of Goya (Francisco de Goya y Lucientes) artwork'
'Harry G. Sperling';'has_possession_of';'Napoleon Bonaparte at the Champ de Mai, June 1, 1815'
'Metropolitan Museum of Art';'has_possession_of';'Napoleon Bonaparte at the Champ de Mai, June 1, 1815'
'Jean Démosthène Dugourc';'has_role';'Artist'
'Metropolitan Museum of Art';'has_possession_of';'Ewer'
'Robert Lehman Collection';'donates_to';'Metropolitan Museum of Art'
'Andrew Fountaine';'has_possession_of';'Ewer'
'Andrew Fountaine';'is_the_owner_of';'Narford Hall'
'Jacques Nouailher';'has_role';'Artist'
'Harry G. Sperling';'has_possession_of';'Thomas of Villanova, Archbishop of Valencia'
'Metropolitan Museum of Art';'has_possession_of';'Thomas of Villanova, Archbishop of Valencia'
'Pedro Orrente';'has_role';'Artist'
'Harry G. Sperling';'has_possession_of';'Penitent St. Jerome (recto)'
'Penitent St. Jerome (recto)';'comes_from';'Vicente Carducho'
'Robert Lehman Collection';'has_possession_of';'Saint Matthew'
'Walter S. Morgan';'has_possession_of';'Saint Matthew'
'Metropolitan Museum of Art';'has_possession_of';'Saint Matthew'
'Saint Matthew';'comes_from';'Southern Netherlands'
'Robert Lehman Collection';'has_possession_of';'Saint Paul'
'Walter S. Morgan';'sells';'Saint Paul'
'Metropolitan Museum of Art';'has_possession_of';'Saint Paul'
'Saint Paul';'comes_from';'Southern Netherlands'
'Robert Lehman Collection';'has_possession_of';'Saint John the Evangelist'
'Walter S. Morgan';'has_possession_of';'Saint John the Evangelist'
'Morgan sale, Plaza';'has_possession_of';'Saint John the Evangelist'
'Saint John the Evangelist';'comes_from';'Southern Netherlands'
'Robert Lehman Collection';'has_possession_of';'Statue: Christ'
'Walter S. Morgan';'has_possession_of';'Statue: Christ'
'Metropolitan Museum of Art';'has_possession_of';'Statue: Christ'
'Statue: Christ';'comes_from';'Southern Netherlands'
'John J. Klejman';'has_possession_of';'Double Panel'
'Dr. Milton Gross';'has_possession_of';'Double Panel'
'Dr. Milton Gross';'donates_to';'Metropolitan Museum of Art'
'Double Panel';'comes_from';'Kuba peoples'
'Harry G. Sperling';'has_possession_of';'Seated Old Woman Holding a Book'
'Metropolitan Museum of Art';'has_possession_of';'Seated Old Woman Holding a Book'
'Robert Sargent Austin';'has_role';'Artist'
'Harry G. Sperling';'has_possession_of';'Sacrifice of Noah (?)'
'Sacrifice of Noah (?)';'comes_from';'Harry G. Sperling'
'Polyphemus and Galatea';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Polyphemus and Galatea'
'Metropolitan Museum of Art';'has_possession_of';'View of the Borsa, Rome'
'View of the Borsa, Rome';'comes_from';'Harry G. Sperling'
'Harry G. Sperling';'has_possession_of';'Anonymous, Italian, first half of the 18th century artwork'
'Anonymous, Italian, first half of the 18th century artwork';'comes_from';'Harry G. Sperling'
'Back View of a Man in a Long Coat with a Sword';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Back View of a Man in a Long Coat with a Sword'
'Harry G. Sperling';'has_possession_of';'Man in a Long Coat and Turban with a Sword'
'Man in a Long Coat and Turban with a Sword';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Design for a Decorative Cornice'
'Design for a Decorative Cornice';'comes_from';'Harry G. Sperling'
'Harry G. Sperling';'has_possession_of';'Young Man Seated on the ground with his left hand resting on a rock'
'Young Man Seated on the ground with his left hand resting on a rock';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Young Man Seated on the ground with his left hand resting on a rock'
'Metropolitan Museum of Art';'has_possession_of';'Four Studies of a Nude Child'
'Four Studies of a Nude Child';'comes_from';'Harry G. Sperling'
'Joseph François Parrocel';'has_role';'Artist'
'Harry G. Sperling';'has_possession_of';'Allegory of Painting with Putti'
'Allegory of Painting with Putti';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Allegory of Painting with Putti'
'Harry G. Sperling';'has_possession_of';'Angry Dog'
'Angry Dog';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Angry Dog'
'Metropolitan Museum of Art';'has_possession_of';'Half-Length Portrait of a Young Man'
'Half-Length Portrait of a Young Man';'comes_from';'Jean Marc Nattier'
'Half-Length Portrait of a Young Man';'comes_from';'Mendelsohn-Bartholdi'
'Metropolitan Museum of Art';'has_possession_of';'Italian Peasant Woman with Basket on her Head'
'Italian Peasant Woman with Basket on her Head';'comes_from';'Northern European'
'Harry G. Sperling';'has_possession_of';'Soldier Mounting a Horse'
'Soldier Mounting a Horse';'comes_from';'Théodore Gericault'
'Metropolitan Museum of Art';'has_possession_of';'Lions Attacking Two Men and a Horse'
'Lions Attacking Two Men and a Horse';'comes_from';'Harry G. Sperling'
'Harry G. Sperling';'has_possession_of';'Martyrdom of Saint Ursula? Saint Paula?'
'Martyrdom of Saint Ursula? Saint Paula?';'comes_from';'Unidentified Collector'
'Metropolitan Museum of Art';'has_possession_of';'Martyrdom of Saint Ursula? Saint Paula?'
'Harry G. Sperling';'has_possession_of';'Martyrdom of Saint Andrew (recto), Head of a Woman (verso)'
'Martyrdom of Saint Andrew (recto), Head of a Woman (verso)';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Martyrdom of Saint Andrew (recto), Head of a Woman (verso)'
'Harry G. Sperling';'has_possession_of';'Architect in His Study Holding a Compass and Calipers'
'Architect in His Study Holding a Compass and Calipers';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Architect in His Study Holding a Compass and Calipers'
'Harry G. Sperling';'has_possession_of';'Figures in a Landscape with Classical Ruins'
'Metropolitan Museum of Art';'has_possession_of';'Figures in a Landscape with Classical Ruins'
'Harry G. Sperling';'has_possession_of';'Fall of the Giants'
'Fall of the Giants';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'The Mocking of Christ (recto), Exterior View of a Palace (verso)'
'Modesto Ignazio Bonaventura Luigi Genevosio';'has_possession_of';'The Mocking of Christ (recto), Exterior View of a Palace (verso)'
'Harry G. Sperling';'has_possession_of';'Landscape with Figures Crossing a Bridge (recto) Landscape with Figures (verso)'
'Metropolitan Museum of Art';'has_possession_of';'Landscape with Figures Crossing a Bridge (recto) Landscape with Figures (verso)'
'Harry G. Sperling';'has_possession_of';'Bust of a Woman looking right'
'Bust of a Woman looking right';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Unidentified Subject with Male Nudes at Left and Right'
'Unidentified Subject with Male Nudes at Left and Right';'comes_from';'Harry G. Sperling'
'Harry G. Sperling';'has_possession_of';'River Landscape with Mountains'
'River Landscape with Mountains';'comes_from';'Meijer Elte, The Hague'
'River Landscape with Mountains';'comes_from';'Harry G. Sperling'
'River Landscape with Mountains';'comes_from';'F.'
'Harry G. Sperling';'has_possession_of';'A Theatrical Scene'
'A Theatrical Scene';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'A Young Woman Seated in a Chair'
'A Young Woman Seated in a Chair';'comes_from';'Central Italy'
'A Young Woman Seated in a Chair';'comes_from';'Hugh Howard'
'Metropolitan Museum of Art';'has_possession_of';'Falstaff with Mrs. Ford and Mrs. Page (Shakespeare, The Merry Wives of Windsor)'
'Falstaff with Mrs. Ford and Mrs. Page (Shakespeare, The Merry Wives of Windsor)';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'The Island of San Giorgio Maggiore, Venice'
'Mrs. Gutekunst';'sells';'P. & D. Colnaghi & Co.'
'P. & D. Colnaghi & Co.';'sells';'Harry G. Sperling'
'The Island of San Giorgio Maggiore, Venice';'comes_from';'Giacomo Guardi'
'Metropolitan Museum of Art';'has_possession_of';'Man Assisting a Woman to Mount a Horse, with Two Figures in the Background'
'Man Assisting a Woman to Mount a Horse, with Two Figures in the Background';'comes_from';'Giuseppe Bernardino Bison'
'Man Assisting a Woman to Mount a Horse, with Two Figures in the Background';'comes_from';'Henry Scipio Reitlinger'
'Man Assisting a Woman to Mount a Horse, with Two Figures in the Background';'comes_from';'Harry G. Sperling'
'Harry G. Sperling';'has_possession_of';'Study for a Nativity, Bearded Male Saint, and Other Figures'
'Study for a Nativity, Bearded Male Saint, and Other Figures';'comes_from';'Harry G. Sperling'
'Metropolitan Museum of Art';'has_possession_of';'Study for a Nativity, Bearded Male Saint, and Other Figures'
